iter,pi,tol
2,2.6666666666666669627,-1
3,3.4666666666666667851,-1
4,2.8952380952380956103,-1
5,3.3396825396825402521,-1
6,2.9760461760461764946,-1
7,3.2837384837384844261,-1
8,3.0170718170718178186,-1
9,3.2523659347188766944,-1
10,3.0418396189294032439,-1
11,3.2323158094055939316,-1
12,3.0584027659273331778,-1
13,3.21840276592733332,-1
14,3.0702546177791854021,-1
15,3.2081856522619438543,-1
16,3.0791533941974278399,-1
17,3.2003655154095489443,-1
18,3.0860798011238346206,-1
19,3.1941879092319425126,-1
20,3.0916238066678398688,-1
21,3.189184782277596053,-1
22,3.0961615264636423994,-1
23,3.1850504153525314166,-1
24,3.0999440323738078895,-1
25,3.1815766854350324699,-1
26,3.1031453128860126967,-1
27,3.1786170109992202271,-1
28,3.1058897382719474756,-1
29,3.1760651768684384777,-1
30,3.1082685666989471329,-1
31,3.1738423371907504844,-1
32,3.1103502736986872179,-1
33,3.1718887352371485377,-1
34,3.1121872426998349326,-1
35,3.1701582571925883691,-1
36,3.1138202290235743597,-1
37,3.1686147495715193401,-1
38,3.1152814162381861074,-1
39,3.1672294681862380727,-1
40,3.1165965567938331837,-1
41,3.165979272843215675,-1
42,3.1177865017588781704,-1
43,3.1648453252882897679,-1
44,3.1188683137940369505,-1
45,3.1638121340187561614,-1
46,3.1198560900627123615,-1
47,3.1628668427508843664,-1
48,3.1207615795929894986,-1
49,3.1619986929950512078,-1
