iter,pi
2,2.4494897427831778813
3,2.7386127875258305941
4,2.8577380888664563052
5,2.9226130405098285081
6,2.9633877160567885234
7,2.9913765627607591391
8,3.0117740057046091806
9,3.0272979142195417523
10,3.039507600408640986
11,3.0493617155986258993
